Geo Point;Geo Shape;gml_id;code_dep;code_insee;commune;nom;x;y;search_id;plaisance;peche;commerce;reparation_navale;passager;id_port_monde
47.730523586657306,-3.361836779210596;"{""coordinates"": [-3.361836779210596, 47.730523586657306], ""type"": ""Point""}";port.POR_5604;56;56121;LORIENT;Port de Lorient;223640.0;6755880.0;port_rb.POR_5604;1;1;1;1;1;FRLRT
48.648697866061696,-2.007525076441404;"{""coordinates"": [-2.007525076441404, 48.648697866061696], ""type"": ""Point""}";port.POR_3502;35;35288;SAINT-MALO;Port de Saint-Malo;331360.0;6850420.0;port_rb.POR_3502;1;1;1;1;1;FRSML
47.60626064185394,-2.792744729074937;"{""coordinates"": [-2.792744729074937, 47.60626064185394], ""type"": ""Point""}";port.POR_5602;56;56088;ILE D'ARZ;Cale de Beluré, île d'Arz;265160.0;6738830.0;port_rb.POR_5602;1;0;0;0;1;
47.47663235787589,-3.12494699042677;"{""coordinates"": [-3.12494699042677, 47.47663235787589], ""type"": ""Point""}";port.POR_5605;56;56186;QUIBERON;Port Maria, Quiberon;239156.0;6726360.0;port_rb.POR_5605;1;1;1;0;1;FRQUI
48.40013267609443,-4.956134062183295;"{""coordinates"": [-4.956134062183295, 48.40013267609443], ""type"": ""Point""}";port.POR_2905;29;29084;ILE DE MOLENE;Port de l'îIe de Molène;112111.0;6840740.0;port_rb.POR_2905;1;1;1;0;1;FRME5
48.74161219418404,-4.014271023948987;"{""coordinates"": [-4.014271023948987, 48.74161219418404], ""type"": ""Point""}";port.POR_2904;29;29082;ILE DE BATZ;Port de l'îIe de Batz;184879.0;6871950.0;port_rb.POR_2904;1;1;1;0;1;FRHMX
47.62570582645262,-2.774841092352612;"{""coordinates"": [-2.774841092352612, 47.62570582645262], ""type"": ""Point""}";port.POR_5606;56;56243;SENE;Cale de Barrarac'h, Séné;266660.0;6740890.0;port_rb.POR_5606;1;0;0;0;1;
47.87186458491472,-3.912163752923768;"{""coordinates"": [-3.912163752923768, 47.87186458491472], ""type"": ""Point""}";port.POR_2903;29;29039;CONCARNEAU;Port de Concarneau;183907.0;6774990.0;port_rb.POR_2903;1;1;1;1;0;FRCOC
48.46901368994153,-5.054989490459949;"{""coordinates"": [-5.054989490459949, 48.46901368994153], ""type"": ""Point""}";port.POR_2907;29;29155;ILE D'OUESSANT;Port du Stiff, île d'Ouessant;105612.0;6849090.0;port_rb.POR_2907;1;1;1;0;1;FROS2
47.64393586746392,-3.447048198617113;"{""coordinates"": [-3.447048198617113, 47.64393586746392], ""type"": ""Point""}";port.POR_5601;56;56069;ILE DE GROIX;Port Tudy, île de Groix;216489.0;6746810.0;port_rb.POR_5601;1;1;1;0;1;FRG2X
47.62720739886487,-2.777263008113166;"{""coordinates"": [-2.777263008113166, 47.62720739886487], ""type"": ""Point""}";port.POR_5608;56;56260;VANNES;Cale de Conleau, Vannes;266491.0;6741070.0;port_rb.POR_5608;1;0;0;0;1;
48.03718087304177,-4.847944491861068;"{""coordinates"": [-4.847944491861068, 48.03718087304177], ""type"": ""Point""}";port.POR_2906;29;29083;ILE DE SEIN;Port de l'île de Sein;116077.0;6799800.0;port_rb.POR_2906;1;1;1;0;1;FRSI3
48.36011290042054,-4.779966565711483;"{""coordinates"": [-4.779966565711483, 48.36011290042054], ""type"": ""Point""}";port.POR_2908;29;29040;LE CONQUET;Port du Conquet;124648.0;6835010.0;port_rb.POR_2908;1;1;1;0;1;FRCQ2
48.00572701070526,-4.555133059550881;"{""coordinates"": [-4.555133059550881, 48.00572701070526], ""type"": ""Point""}";port.POR_2901;29;29003;AUDIERNE;Port d'Esquibien, Saint-Evette;137461.0;6794190.0;port_rb.POR_2901;1;1;1;0;1;FRAUD
48.66899922398082,-1.854760093987415;"{""coordinates"": [-1.854760093987415, 48.66899922398082], ""type"": ""Point""}";port.POR_3501;35;35049;CANCALE;Port de La Houle, Cancale;342731.0;6851970.0;port_rb.POR_3501;1;1;0;0;0;FRV35
48.724606690789244,-3.979509622719371;"{""coordinates"": [-3.979509622719371, 48.724606690789244], ""type"": ""Point""}";port.POR_2910;29;29239;ROSCOFF;Roscoff Vieux-port;187258.0;6869840.0;port_rb.POR_2910;1;1;1;0;1;
48.71866122533598,-3.965433295510557;"{""coordinates"": [-3.965433295510557, 48.71866122533598], ""type"": ""Point""}";port.POR_2909;29;29239;ROSCOFF;Port du Bloscon;188231.0;6869090.0;port_rb.POR_2909;1;1;1;0;1;FRROS
48.380181368400294,-4.481513880393615;"{""coordinates"": [-4.481513880393615, 48.380181368400294], ""type"": ""Point""}";port.POR_2902;29;29019;BREST;Port de Brest;147348.0;6835340.0;port_rb.POR_2902;1;1;1;1;1;FRBES
48.528062246639614,-2.733784394633565;"{""coordinates"": [-2.733784394633565, 48.528062246639614], ""type"": ""Point""}";port.POR_2201;22;22278;SAINT BRIEUC;Port du Légué, Saint-Brieuc;277010.0;6840680.0;port_rb.POR_2201;1;0;1;1;0;FRLLG
47.63708360238835,-2.761791992072539;"{""coordinates"": [-2.761791992072539, 47.63708360238835], ""type"": ""Point""}";port.POR_5609;56;56260;VANNES;Port de Commerce, Vannes;267729.0;6742080.0;port_rb.POR_5609;0;0;1;0;0;FRVNE
47.3480295628323,-3.154236805965869;"{""coordinates"": [-3.154236805965869, 47.3480295628323], ""type"": ""Point""}";port.POR_5603;56;56152;LE PALAIS;Port du Palais, Belle-Ile;235844.0;6712290.0;port_rb.POR_5603;1;1;1;0;1;FRLP2
47.623890439659846,-2.779017194057988;"{""coordinates"": [-2.779017194057988, 47.623890439659846], ""type"": ""Point""}";port.POR_5607;56;56243;SENE;Port Anna, Séné;266332.0;6740710.0;port_rb.POR_5607;1;0;0;0;1;FRSN4
